Product name,Prices,Description,Review,Brand
"realme X50 Pro (Moss Green, 128 GB)",41999,8 GB RAM | 128 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera4200 mAh Battery5G PhoneQualcomm Snapdragon 865 Processor65W Superdart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.4,realme
"OPPO Reno11 Pro 5G (Pearl White, 256 GB)",36999,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 32MP | 32MP Front Camera4600 mAh BatteryMediatek Dimensity 8200 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,OPPO
"POCO X8 Pro Max (Blue, 256 GB)",41999,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display50MP + 8MP | 20MP Front Camera9000 mAh Lithium-Ion Polymer With Silicon Carbon Technology BatteryDimensity 9500s Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.0,POCO
"OPPO Reno 12 5G (Sunset Peach, 256 GB)",43999,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,OPPO
"OPPO Reno 12 5G (Matte Brown, 256 GB)",43999,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,OPPO
"OPPO Reno13 5G (Blue, 128 GB)",41999,8 GB RAM | 128 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 2MP | 50MP Front Camera5600 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5,OPPO
"Samsung Galaxy A57 5G (Awesome Icyblue, 256 GB)",49999,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Super AMOLED Display50MP + 12MP | 12MP Front Camera5000 mAh Li-ion BatteryExynos 1680 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5,Samsung
"vivo V70 FE (Northern Lights Purple, 256 GB)",44999,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display200MP + 8MP | 50MP Front Camera7000 mAh Li-ion BatteryDimensity 7360-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.0,vivo
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 128 GB)",45999,8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion BatterySnapdragon 888 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.4,Samsung
"OnePlus 11 5G (Eternal Green, 256 GB)",41500,16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories,4.2,OnePlus
"OnePlus 11R 5G (Galactic Silver, 256 GB)",41999,16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 16MP Front Camera5000 mAh BatteryDomestic warranty of 12 months on phone & 6 months on accessories,4.6,OnePlus
